customer_id,company_name,industry,region,employee_count,segment,recency,frequency,monetary,R_score,F_score,M_score,RFM_total,products_owned,crosssell_opportunity_score,relationship_manager
SME0047,Company 47 Ltd,Manufacturing,North,50,At Risk,172,5,17591.0,3,2,2,2.3333333333333335,3,1.33,RM020
SME0048,Company 48 Ltd,Healthcare,North,100,Loyal Customers,159,13,79270.0,3,3,3,3.0,6,0.43,RM003
SME0049,Company 49 Ltd,Healthcare,Central,25,Lost,283,2,4411.0,2,1,1,1.3333333333333333,2,0.95,RM015
SME0050,Company 50 Ltd,Retail,East,10,Lost,301,3,8549.0,2,1,2,1.6666666666666667,2,1.19,RM002
SME0051,Company 51 Ltd,Food & Beverage,South,50,Potential Loyalists,77,13,61271.0,4,3,2,3.0,6,0.43,RM002
SME0052,Company 52 Ltd,Construction,West,100,Can't Lose Them,206,16,70194.0,2,3,3,2.6666666666666665,6,0.38,RM003
SME0053,Company 53 Ltd,Food & Beverage,South,50,Lost,264,5,13659.0,2,2,2,2.0,3,1.14,RM006
SME0054,Company 54 Ltd,Food & Beverage,Central,50,Lost,335,2,3094.0,1,1,1,1.0,2,0.71,RM015
SME0055,Company 55 Ltd,Professional Services,North,25,Champions,33,40,1165633.0,5,5,4,4.666666666666667,7,0.0,RM010
SME0056,Company 56 Ltd,Food & Beverage,North,100,Loyal Customers,119,18,189497.0,3,4,4,3.6666666666666665,6,0.52,RM009
SME0057,Company 57 Ltd,Retail,West,5,Loyal Customers,61,14,187976.0,4,3,4,3.6666666666666665,6,0.52,RM001
SME0058,Company 58 Ltd,Retail,North,25,Lost,274,2,2433.0,2,1,1,1.3333333333333333,2,0.95,RM016
SME0059,Company 59 Ltd,Retail,North,5,Loyal Customers,141,13,179871.0,3,3,4,3.3333333333333335,6,0.48,RM006
SME0060,Company 60 Ltd,Manufacturing,West,10,Champions,27,26,1755071.0,5,4,5,4.666666666666667,7,0.0,RM009
SME0061,Company 61 Ltd,Manufacturing,West,25,Loyal Customers,114,31,1784369.0,3,4,5,4.0,7,0.0,RM004
SME0062,Company 62 Ltd,Manufacturing,Central,25,Loyal Customers,154,19,96222.0,3,4,3,3.3333333333333335,7,0.0,RM002
SME0063,Company 63 Ltd,Construction,North,50,Lost,636,1,2669.0,1,1,1,1.0,1,0.86,RM004
SME0064,Company 64 Ltd,Manufacturing,North,25,Can't Lose Them,266,11,108396.0,2,3,3,2.6666666666666665,5,0.76,RM001
SME0065,Company 65 Ltd,Manufacturing,Central,25,Champions,86,27,1971129.0,4,4,5,4.333333333333333,6,0.62,RM019
SME0066,Company 66 Ltd,Healthcare,East,10,Hibernating,197,7,96915.0,2,2,3,2.3333333333333335,5,0.67,RM010
SME0067,Company 67 Ltd,Retail,East,25,Potential Loyalists,177,15,48139.0,3,3,2,2.6666666666666665,7,0.0,RM015
SME0068,Company 68 Ltd,Construction,East,10,Champions,27,38,1294127.0,5,5,4,4.666666666666667,7,0.0,RM019
SME0069,Company 69 Ltd,Retail,Central,5,Can't Lose Them,223,19,240654.0,2,4,4,3.3333333333333335,7,0.0,RM016
SME0070,Company 70 Ltd,Food & Beverage,North,50,Loyal Customers,123,17,167368.0,3,4,4,3.6666666666666665,7,0.0,RM004
SME0071,Company 71 Ltd,Construction,Central,50,Lost,447,4,3436.0,1,2,1,1.3333333333333333,2,0.95,RM002
SME0072,Company 72 Ltd,Retail,Central,50,At Risk,148,3,3318.0,3,1,1,1.6666666666666667,3,0.95,RM013
SME0073,Company 73 Ltd,Retail,East,25,Champions,47,28,1173454.0,5,4,4,4.333333333333333,7,0.0,RM001
SME0074,Company 74 Ltd,Construction,South,25,Lost,533,1,1844.0,1,1,1,1.0,1,0.86,RM017
SME0075,Company 75 Ltd,Professional Services,North,100,Champions,21,70,20731331.0,5,5,5,5.0,7,0.0,RM013
SME0076,Company 76 Ltd,Professional Services,East,25,Champions,66,31,1621215.0,4,4,5,4.333333333333333,7,0.0,RM004
SME0077,Company 77 Ltd,Construction,South,25,Potential Loyalists,76,12,39780.0,4,3,2,3.0,6,0.43,RM007
SME0078,Company 78 Ltd,Retail,South,5,Loyal Customers,147,17,180234.0,3,4,4,3.6666666666666665,7,0.0,RM017
SME0079,Company 79 Ltd,Manufacturing,West,10,Champions,45,28,447856.0,5,4,4,4.333333333333333,7,0.0,RM009
SME0080,Company 80 Ltd,Retail,North,25,Champions,12,80,32604208.0,5,5,5,5.0,7,0.0,RM004
SME0081,Company 81 Ltd,Construction,South,25,Lost,263,6,37342.0,2,2,2,2.0,5,0.57,RM019
SME0082,Company 82 Ltd,Professional Services,East,25,Lost,215,4,5527.0,2,2,2,2.0,4,0.86,RM001
SME0083,Company 83 Ltd,Manufacturing,West,25,Lost,594,1,2792.0,1,1,1,1.0,1,0.86,RM010
SME0084,Company 84 Ltd,Retail,North,50,Lost,368,4,7578.0,1,2,2,1.6666666666666667,3,0.95,RM004
SME0085,Company 85 Ltd,Manufacturing,Central,50,Champions,19,22,654692.0,5,4,4,4.333333333333333,6,0.62,RM009
SME0086,Company 86 Ltd,Manufacturing,East,100,Can't Lose Them,189,16,50576.0,2,3,2,2.3333333333333335,7,0.0,RM013
SME0087,Company 87 Ltd,Professional Services,South,50,Lost,391,4,8743.0,1,2,2,1.6666666666666667,2,1.19,RM014
SME0088,Company 88 Ltd,Professional Services,South,200,Lost,392,1,3942.0,1,1,1,1.0,1,0.86,RM010
SME0089,Company 89 Ltd,Food & Beverage,East,5,Champions,51,43,2275967.0,5,5,5,5.0,7,0.0,RM006
SME0090,Company 90 Ltd,Healthcare,South,10,Lost,350,1,2303.0,1,1,1,1.0,1,0.86,RM016
SME0091,Company 91 Ltd,Retail,West,5,Champions,55,38,2955371.0,4,5,5,4.666666666666667,7,0.0,RM006
SME0092,Company 92 Ltd,Professional Services,North,50,Champions,19,30,1646204.0,5,4,5,4.666666666666667,7,0.0,RM017
SME0093,Company 93 Ltd,Construction,West,100,Loyal Customers,122,18,178958.0,3,4,4,3.6666666666666665,6,0.52,RM010
SME0094,Company 94 Ltd,Professional Services,South,10,At Risk,135,8,81546.0,3,2,3,2.6666666666666665,5,0.76,RM018
SME0095,Company 95 Ltd,Construction,Central,200,Lost,277,3,4863.0,2,1,1,1.3333333333333333,1,1.14,RM018
SME0096,Company 96 Ltd,Healthcare,North,5,Champions,56,54,1483839.0,4,5,4,4.333333333333333,7,0.0,RM003
SME0097,Company 97 Ltd,Healthcare,North,200,Lost,372,3,7441.0,1,1,2,1.3333333333333333,3,0.76,RM020
SME0098,Company 98 Ltd,Healthcare,East,25,At Risk,139,7,37110.0,3,2,2,2.3333333333333335,5,0.67,RM015
SME0099,Company 99 Ltd,Retail,East,5,Lost,309,2,2690.0,2,1,1,1.3333333333333333,2,0.95,RM015
SME0100,Company 100 Ltd,Retail,Central,25,Can't Lose Them,185,14,120761.0,2,3,3,2.6666666666666665,6,0.38,RM004
SME0101,Company 101 Ltd,Retail,North,10,Champions,56,53,2717315.0,4,5,5,4.666666666666667,7,0.0,RM009
SME0102,Company 102 Ltd,Professional Services,Central,10,Champions,93,21,671538.0,4,4,4,4.0,6,0.57,RM019
SME0103,Company 103 Ltd,Manufacturing,East,10,Champions,17,74,30724310.0,5,5,5,5.0,7,0.0,RM017
SME0104,Company 104 Ltd,Healthcare,East,100,Champions,53,53,2128803.0,4,5,5,4.666666666666667,7,0.0,RM011
SME0105,Company 105 Ltd,Food & Beverage,North,25,Champions,34,96,28727045.0,5,5,5,5.0,7,0.0,RM009
SME0106,Company 106 Ltd,Manufacturing,West,10,Lost,203,2,1047.0,2,1,1,1.3333333333333333,2,0.95,RM010
SME0107,Company 107 Ltd,Healthcare,South,50,Lost,662,3,3803.0,1,1,1,1.0,2,0.71,RM018
SME0108,Company 108 Ltd,Construction,East,50,Loyal Customers,171,9,98460.0,3,3,3,3.0,6,0.43,RM020
SME0109,Company 109 Ltd,Manufacturing,East,10,Champions,23,98,31939329.0,5,5,5,5.0,7,0.0,RM013
SME0110,Company 110 Ltd,Retail,West,25,Hibernating,258,8,89254.0,2,2,3,2.3333333333333335,5,0.67,RM008
SME0111,Company 111 Ltd,Manufacturing,West,5,Champions,51,59,4388598.0,5,5,5,5.0,7,0.0,RM007
SME0112,Company 112 Ltd,Retail,Central,10,Lost,450,1,1905.0,1,1,1,1.0,1,0.86,RM017
SME0113,Company 113 Ltd,Food & Beverage,Central,50,Champions,61,18,255682.0,4,4,4,4.0,6,0.57,RM015
SME0114,Company 114 Ltd,Construction,South,10,Lost,271,2,5708.0,2,1,2,1.6666666666666667,2,1.19,RM020
SME0115,Company 115 Ltd,Professional Services,South,25,Loyal Customers,124,12,128972.0,3,3,3,3.0,6,0.43,RM015
SME0116,Company 116 Ltd,Food & Beverage,North,50,Champions,25,54,3223320.0,5,5,5,5.0,7,0.0,RM001
SME0117,Company 117 Ltd,Construction,Central,5,Loyal Customers,144,18,219500.0,3,4,4,3.6666666666666665,6,0.52,RM014
SME0118,Company 118 Ltd,Retail,East,25,Champions,89,38,1753807.0,4,5,5,4.666666666666667,7,0.0,RM005
SME0119,Company 119 Ltd,Food & Beverage,Central,10,Champions,53,57,2170305.0,4,5,5,4.666666666666667,7,0.0,RM011
SME0120,Company 120 Ltd,Healthcare,East,200,Champions,26,42,1771490.0,5,5,5,5.0,7,0.0,RM016
SME0121,Company 121 Ltd,Construction,West,25,Can't Lose Them,239,18,48671.0,2,4,2,2.6666666666666665,7,0.0,RM002
SME0122,Company 122 Ltd,Food & Beverage,Central,100,Loyal Customers,172,11,103724.0,3,3,3,3.0,4,1.29,RM008
SME0123,Company 123 Ltd,Manufacturing,West,25,Champions,66,31,2121576.0,4,4,5,4.333333333333333,7,0.0,RM011
SME0124,Company 124 Ltd,Retail,South,5,Champions,9,107,29079207.0,5,5,5,5.0,7,0.0,RM018
SME0125,Company 125 Ltd,Manufacturing,South,50,Potential Loyalists,152,12,48976.0,3,3,2,2.6666666666666665,6,0.38,RM003
SME0126,Company 126 Ltd,Healthcare,North,200,Champions,61,34,2350866.0,4,4,5,4.333333333333333,7,0.0,RM001
SME0127,Company 127 Ltd,Construction,Central,50,Champions,10,108,40573131.0,5,5,5,5.0,7,0.0,RM011
SME0128,Company 128 Ltd,Construction,West,100,Lost,452,1,1437.0,1,1,1,1.0,1,0.86,RM016
SME0129,Company 129 Ltd,Retail,East,100,Champions,65,40,2622336.0,4,5,5,4.666666666666667,6,0.67,RM018
SME0130,Company 130 Ltd,Healthcare,South,10,Loyal Customers,163,9,94520.0,3,3,3,3.0,6,0.43,RM016
SME0131,Company 131 Ltd,Healthcare,South,10,Loyal Customers,164,17,176015.0,3,4,4,3.6666666666666665,7,0.0,RM010
SME0132,Company 132 Ltd,Manufacturing,East,50,Can't Lose Them,206,19,236433.0,2,4,4,3.3333333333333335,7,0.0,RM018
SME0133,Company 133 Ltd,Retail,West,25,Loyal Customers,88,19,112469.0,4,4,3,3.6666666666666665,5,1.05,RM006
SME0134,Company 134 Ltd,Manufacturing,West,100,Loyal Customers,169,37,2789627.0,3,4,5,4.0,7,0.0,RM019
SME0135,Company 135 Ltd,Food & Beverage,Central,100,Lost,465,2,6292.0,1,1,2,1.3333333333333333,1,1.14,RM004
SME0136,Company 136 Ltd,Manufacturing,Central,25,Lost,338,2,865.0,1,1,1,1.0,2,0.71,RM013
SME0137,Company 137 Ltd,Healthcare,North,10,Champions,47,59,967587.0,5,5,4,4.666666666666667,7,0.0,RM014
SME0138,Company 138 Ltd,Professional Services,South,50,Champions,85,53,4221427.0,4,5,5,4.666666666666667,7,0.0,RM003
SME0139,Company 139 Ltd,Manufacturing,Central,10,Potential Loyalists,84,14,47840.0,4,3,2,3.0,7,0.0,RM010
SME0140,Company 140 Ltd,Food & Beverage,West,100,At Risk,169,6,80037.0,3,2,3,2.6666666666666665,5,0.76,RM006
SME0141,Company 141 Ltd,Food & Beverage,East,25,Champions,34,21,1579125.0,5,4,5,4.666666666666667,6,0.67,RM001
SME0142,Company 142 Ltd,Manufacturing,West,50,Loyal Customers,155,12,69215.0,3,3,3,3.0,6,0.43,RM014
SME0143,Company 143 Ltd,Healthcare,South,5,Loyal Customers,158,19,176308.0,3,4,4,3.6666666666666665,7,0.0,RM008
SME0144,Company 144 Ltd,Manufacturing,West,50,Lost,388,4,7427.0,1,2,2,1.6666666666666667,4,0.71,RM019
SME0145,Company 145 Ltd,Manufacturing,North,25,Lost,215,7,46583.0,2,2,2,2.0,4,0.86,RM014
SME0146,Company 146 Ltd,Retail,South,25,Champions,13,31,1324792.0,5,4,4,4.333333333333333,7,0.0,RM010
SME0147,Company 147 Ltd,Professional Services,East,10,Lost,478,3,2712.0,1,1,1,1.0,2,0.71,RM017
SME0148,Company 148 Ltd,Healthcare,North,50,Lost,274,2,2421.0,2,1,1,1.3333333333333333,2,0.95,RM009
SME0149,Company 149 Ltd,Retail,South,100,Loyal Customers,119,11,87550.0,3,3,3,3.0,5,0.86,RM006
SME0150,Company 150 Ltd,Manufacturing,East,10,Champions,29,55,3218596.0,5,5,5,5.0,7,0.0,RM011
SME0151,Company 151 Ltd,Food & Beverage,North,5,Champions,38,51,1045055.0,5,5,4,4.666666666666667,7,0.0,RM007
SME0152,Company 152 Ltd,Manufacturing,North,5,Champions,28,57,4423946.0,5,5,5,5.0,7,0.0,RM017
SME0153,Company 153 Ltd,Retail,South,50,Loyal Customers,139,17,125337.0,3,4,3,3.3333333333333335,7,0.0,RM001
SME0154,Company 154 Ltd,Healthcare,Central,50,Champions,65,23,1586935.0,4,4,5,4.333333333333333,7,0.0,RM005
SME0155,Company 155 Ltd,Food & Beverage,North,25,Lost,616,1,1345.0,1,1,1,1.0,1,0.86,RM009
SME0156,Company 156 Ltd,Manufacturing,North,10,Lost,413,3,4617.0,1,1,1,1.0,3,0.57,RM018
SME0157,Company 157 Ltd,Professional Services,East,25,Lost,343,3,2473.0,1,1,1,1.0,3,0.57,RM002
SME0158,Company 158 Ltd,Construction,West,25,Potential Loyalists,140,11,40385.0,3,3,2,2.6666666666666665,6,0.38,RM011
SME0159,Company 159 Ltd,Manufacturing,South,25,Loyal Customers,126,16,137071.0,3,3,3,3.0,6,0.43,RM006
SME0160,Company 160 Ltd,Professional Services,South,500,Lost,356,3,6369.0,1,1,2,1.3333333333333333,3,0.76,RM008
SME0161,Company 161 Ltd,Manufacturing,Central,5,Potential Loyalists,141,13,46219.0,3,3,2,2.6666666666666665,6,0.38,RM004
SME0162,Company 162 Ltd,Professional Services,Central,50,Lost,369,3,2237.0,1,1,1,1.0,3,0.57,RM018
SME0163,Company 163 Ltd,Professional Services,South,25,At Risk,169,4,4524.0,3,2,1,2.0,3,1.14,RM011
SME0164,Company 164 Ltd,Healthcare,Central,25,Can't Lose Them,183,11,128590.0,2,3,3,2.6666666666666665,5,0.76,RM005
SME0165,Company 165 Ltd,Retail,East,50,Hibernating,224,7,102156.0,2,2,3,2.3333333333333335,6,0.33,RM015
SME0166,Company 166 Ltd,Construction,South,50,Champions,100,18,269664.0,4,4,4,4.0,7,0.0,RM018
SME0167,Company 167 Ltd,Manufacturing,Central,500,Loyal Customers,140,14,126147.0,3,3,3,3.0,6,0.43,RM002
SME0168,Company 168 Ltd,Retail,South,5,Can't Lose Them,237,10,106740.0,2,3,3,2.6666666666666665,6,0.38,RM011
SME0169,Company 169 Ltd,Retail,West,5,Champions,6,95,24669717.0,5,5,5,5.0,7,0.0,RM013
SME0170,Company 170 Ltd,Professional Services,North,50,At Risk,152,8,82213.0,3,2,3,2.6666666666666665,5,0.76,RM004
SME0171,Company 171 Ltd,Professional Services,South,25,Lost,356,5,41045.0,1,2,2,1.6666666666666667,4,0.71,RM007
SME0172,Company 172 Ltd,Retail,North,10,Champions,51,36,2098645.0,5,4,5,4.666666666666667,7,0.0,RM011
SME0173,Company 173 Ltd,Healthcare,Central,5,Lost,568,1,1608.0,1,1,1,1.0,1,0.86,RM004
SME0174,Company 174 Ltd,Manufacturing,North,5,Can't Lose Them,210,12,59714.0,2,3,2,2.3333333333333335,6,0.33,RM015
SME0175,Company 175 Ltd,Professional Services,South,100,Lost,568,1,1758.0,1,1,1,1.0,1,0.86,RM001
SME0176,Company 176 Ltd,Retail,West,10,Loyal Customers,152,10,110090.0,3,3,3,3.0,6,0.43,RM003
SME0177,Company 177 Ltd,Professional Services,Central,10,New Customers,73,6,17717.0,4,2,2,2.6666666666666665,4,1.14,RM014
SME0178,Company 178 Ltd,Manufacturing,South,10,Lost,249,4,2082.0,2,2,1,1.6666666666666667,3,0.95,RM006
SME0179,Company 179 Ltd,Food & Beverage,Central,25,Loyal Customers,139,11,152108.0,3,3,4,3.3333333333333335,6,0.48,RM018
SME0180,Company 180 Ltd,Retail,East,5,Lost,487,2,4105.0,1,1,1,1.0,2,0.71,RM001
SME0181,Company 181 Ltd,Manufacturing,North,25,Can't Lose Them,228,15,95490.0,2,3,3,2.6666666666666665,7,0.0,RM006
SME0182,Company 182 Ltd,Retail,East,5,Can't Lose Them,206,13,52376.0,2,3,2,2.3333333333333335,6,0.33,RM006
SME0183,Company 183 Ltd,Food & Beverage,South,100,Can't Lose Them,228,12,153924.0,2,3,4,3.0,6,0.43,RM016
SME0184,Company 184 Ltd,Food & Beverage,West,10,Can't Lose Them,185,14,94645.0,2,3,3,2.6666666666666665,6,0.38,RM005
SME0185,Company 185 Ltd,Manufacturing,Central,25,Lost,200,4,9958.0,2,2,2,2.0,3,1.14,RM017
SME0186,Company 186 Ltd,Professional Services,North,100,Lost,479,1,538.0,1,1,1,1.0,1,0.86,RM010
SME0187,Company 187 Ltd,Construction,Central,50,Champions,44,45,3502621.0,5,5,5,5.0,7,0.0,RM018
SME0188,Company 188 Ltd,Professional Services,South,25,Can't Lose Them,192,11,182018.0,2,3,4,3.0,5,0.86,RM007
SME0189,Company 189 Ltd,Healthcare,Central,10,Lost,333,4,7976.0,1,2,2,1.6666666666666667,2,1.19,RM003
SME0190,Company 190 Ltd,Manufacturing,North,10,Lost,599,4,6394.0,1,2,2,1.6666666666666667,4,0.71,RM013
SME0191,Company 191 Ltd,Retail,South,50,Can't Lose Them,221,15,51328.0,2,3,2,2.3333333333333335,7,0.0,RM015
SME0192,Company 192 Ltd,Food & Beverage,Central,500,Loyal Customers,127,17,106301.0,3,4,3,3.3333333333333335,7,0.0,RM020
SME0193,Company 193 Ltd,Food & Beverage,West,50,Champions,83,57,2227049.0,4,5,5,4.666666666666667,7,0.0,RM019
SME0194,Company 194 Ltd,Professional Services,South,25,Loyal Customers,114,9,109491.0,3,3,3,3.0,5,0.86,RM003
SME0195,Company 195 Ltd,Manufacturing,South,50,Loyal Customers,168,11,106006.0,3,3,3,3.0,6,0.43,RM004
SME0196,Company 196 Ltd,Manufacturing,West,25,Champions,85,56,2267351.0,4,5,5,4.666666666666667,7,0.0,RM005
SME0197,Company 197 Ltd,Professional Services,East,5,Can't Lose Them,205,18,74256.0,2,4,3,3.0,6,0.43,RM001
SME0198,Company 198 Ltd,Food & Beverage,North,25,Lost,305,4,3449.0,2,2,1,1.6666666666666667,3,0.95,RM004
SME0199,Company 199 Ltd,Food & Beverage,East,200,Champions,31,45,1973615.0,5,5,5,5.0,7,0.0,RM012
SME0200,Company 200 Ltd,Construction,Central,10,Can't Lose Them,189,19,179240.0,2,4,4,3.3333333333333335,6,0.48,RM010
SME0201,Company 201 Ltd,Professional Services,West,50,Champions,74,19,233109.0,4,4,4,4.0,7,0.0,RM020
SME0202,Company 202 Ltd,Retail,East,10,Loyal Customers,75,19,97955.0,4,4,3,3.6666666666666665,6,0.52,RM013
SME0203,Company 203 Ltd,Retail,South,25,Loyal Customers,77,15,190431.0,4,3,4,3.6666666666666665,7,0.0,RM014
SME0204,Company 204 Ltd,Food & Beverage,Central,5,Potential Loyalists,133,12,51750.0,3,3,2,2.6666666666666665,7,0.0,RM005
SME0205,Company 205 Ltd,Professional Services,Central,25,Lost,335,4,9172.0,1,2,2,1.6666666666666667,3,0.95,RM004
SME0206,Company 206 Ltd,Retail,East,50,Loyal Customers,138,15,144662.0,3,3,4,3.3333333333333335,7,0.0,RM014
SME0207,Company 207 Ltd,Retail,East,10,Lost,302,3,2212.0,2,1,1,1.3333333333333333,2,0.95,RM010
SME0208,Company 208 Ltd,Professional Services,West,50,Lost,377,3,2211.0,1,1,1,1.0,3,0.57,RM017
SME0209,Company 209 Ltd,Retail,North,50,Champions,63,51,1722962.0,4,5,5,4.666666666666667,7,0.0,RM010
SME0210,Company 210 Ltd,Retail,East,200,New Customers,35,8,99938.0,5,2,3,3.3333333333333335,4,1.43,RM007
SME0211,Company 211 Ltd,Healthcare,East,10,Lost,584,3,6193.0,1,1,2,1.3333333333333333,2,0.95,RM016
SME0212,Company 212 Ltd,Professional Services,South,25,Lost,432,2,3124.0,1,1,1,1.0,1,0.86,RM001
SME0213,Company 213 Ltd,Professional Services,Central,10,At Risk,163,6,25490.0,3,2,2,2.3333333333333335,4,1.0,RM017
SME0214,Company 214 Ltd,Manufacturing,North,500,Loyal Customers,62,16,132788.0,4,3,3,3.3333333333333335,6,0.48,RM009
SME0215,Company 215 Ltd,Professional Services,South,200,Champions,32,47,968388.0,5,5,4,4.666666666666667,7,0.0,RM006
SME0216,Company 216 Ltd,Manufacturing,West,25,Lost,416,4,10093.0,1,2,2,1.6666666666666667,3,0.95,RM019
SME0217,Company 217 Ltd,Manufacturing,West,100,Lost,330,2,1762.0,1,1,1,1.0,2,0.71,RM013
SME0218,Company 218 Ltd,Professional Services,East,25,Champions,54,46,1777308.0,4,5,5,4.666666666666667,7,0.0,RM003
SME0219,Company 219 Ltd,Professional Services,East,50,Loyal Customers,171,17,120998.0,3,4,3,3.3333333333333335,6,0.48,RM007
SME0220,Company 220 Ltd,Construction,West,5,Champions,31,51,1507543.0,5,5,4,4.666666666666667,7,0.0,RM009
